"","state","year","months","period","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","stressor","stress_pct","State.Code","Region","Division"
"1","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Other pests/parasites",5.4,"AL","South","East South Central"
"2","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Unknown",4.1,"AL","South","East South Central"
"3","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Disesases",NA,"AL","South","East South Central"
"4","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Unknown",1.9,"AL","South","East South Central"
"5","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Pesticides",2.2,"AL","South","East South Central"
"6","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Unknown",4.3,"AL","South","East South Central"
"7","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Disesases",NA,"AL","South","East South Central"
"8","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Pesticides",8.1,"AL","South","East South Central"
"9","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Other",2.2,"AL","South","East South Central"
"10","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Other",3.2,"AL","South","East South Central"
"11","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Varroa mites",15.3,"AL","South","East South Central"
"12","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Pesticides",2.3,"AL","South","East South Central"
"13","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Unknown",9.4,"AL","South","East South Central"
"14","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Varroa mites",16.7,"AL","South","East South Central"
"15","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,"Other pests/parasites",42.5,"AL","South","East South Central"
"16","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Other",2.8,"AL","South","East South Central"
"17","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Other",6.7,"AL","South","East South Central"
"18","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Other",9.1,"AL","South","East South Central"
"19","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Unknown",17.7,"AL","South","East South Central"
"20","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Disesases",NA,"AL","South","East South Central"
"21","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Pesticides",2.6,"AL","South","East South Central"
"22","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Other pests/parasites",30.3,"AL","South","East South Central"
"23","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Other",4.8,"AL","South","East South Central"
"24","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Other",5.4,"AL","South","East South Central"
"25","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Other",1.7,"AL","South","East South Central"
"26","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Pesticides",0.2,"AL","South","East South Central"
"27","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Unknown",11.7,"AL","South","East South Central"
