"","state","year","months","period","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","Varroa mites","Other pests/parasites","Disesases","Pesticides","Other","Unknown","State.Code","Region","Division"
"1","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,24.2,22,4.3,8.1,2.4,11.3,"AL","South","East South Central"
"2","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,69.5,22.1,NA,35.4,7.5,3.9,"AL","South","East South Central"
"3","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,30.6,24.6,2.9,0.2,9.7,6.4,"AL","South","East South Central"
"4","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,12.3,9.9,0.2,2.4,6.7,3.3,"AL","South","East South Central"
"5","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,3.1,6.4,0.2,0.2,2.8,1.9,"AL","South","East South Central"
"6","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,63.1,70.6,NA,2.6,2.2,17.7,"AL","South","East South Central"
"7","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,11.7,42,NA,3.8,3.2,13.8,"AL","South","East South Central"
"8","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,10,5.4,NA,2.2,9.1,9.4,"AL","South","East South Central"
"9","Alabama",2015,"April-June",2,7500,7500,860,12,1900,680,9,16.7,42.5,NA,2.3,3.2,4.1,"AL","South","East South Central"
"10","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,22.3,10.1,8.8,9.5,1.7,5.2,"AL","South","East South Central"
"11","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,28.5,18,1.6,7.7,7.9,9.5,"AL","South","East South Central"
"12","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,50.8,43.2,15.4,2,2.3,16.9,"AL","South","East South Central"
"13","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,15.3,10.9,0.2,3.6,7.5,10.4,"AL","South","East South Central"
"14","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,23.6,25.5,1.2,13.1,11.5,2.1,"AL","South","East South Central"
"15","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,9.6,8.2,0.3,1.7,4.8,5.4,"AL","South","East South Central"
"16","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,17.9,13.6,NA,4.2,9.4,5.3,"AL","South","East South Central"
"17","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,27.2,22.7,1.8,0.3,3.1,9,"AL","South","East South Central"
"18","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,46.7,26.7,0.6,4.9,9,11.3,"AL","South","East South Central"
"19","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL","South","East South Central"
"20","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,64.9,29.1,NA,12,5.4,11.7,"AL","South","East South Central"
"21","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,20.6,20.5,1.3,1.5,3.4,7.5,"AL","South","East South Central"
"22","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,55.2,45,0.5,2.1,5.8,26,"AL","South","East South Central"
"23","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,52.2,30.3,NA,NA,3.1,4,"AL","South","East South Central"
"24","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,29.2,30.2,1.9,14.9,8.6,4.5,"AL","South","East South Central"
"25","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,77.5,69.4,0.7,14.6,7.8,6.8,"AL","South","East South Central"
"26","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,12.4,3.4,NA,0.1,1.7,4.3,"AL","South","East South Central"
"27","Arizona",2017,"January-March",9,31000,32000,6000,19,2900,NA,NA,35.6,2.1,3.8,1.7,6.5,2.1,"AZ","West","Mountain"
"28","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,26.8,47.5,17.2,12,17.4,3.5,"AZ","West","Mountain"
"29","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,98.8,15.5,2.3,6.5,4.3,3.2,"AZ","West","Mountain"
"30","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,8.4,32.1,0.5,20.1,28.2,0.3,"AZ","West","Mountain"
"31","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,26.9,20.5,0.1,NA,1.8,3.1,"AZ","West","Mountain"
"32","Arizona",2020,"October-December",24,25000,27000,4000,15,5500,600,2,22.5,NA,NA,4.5,2.3,18.3,"AZ","West","Mountain"
"33","Arizona",2018,"April-June",14,18500,19500,2600,13,12000,2100,11,48.8,7.3,33.2,0.8,14.5,3.7,"AZ","West","Mountain"
"34","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,32.8,2.8,NA,7.7,6.5,7.2,"AZ","West","Mountain"
"35","Arizona",2020,"April-June",22,26000,26000,1300,5,14000,4700,18,22.1,NA,NA,4.2,5.5,0.6,"AZ","West","Mountain"
"36","Arizona",2018,"October-December",16,26000,27000,5000,19,2200,330,1,20.6,8.3,3.1,NA,7.1,3,"AZ","West","Mountain"
"37","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,53.5,24.8,5.4,17.3,7.6,5.1,"AZ","West","Mountain"
"38","Arizona",2017,"July-September",11,26000,26000,4100,16,5000,3200,12,19.8,0.4,0.5,1.1,12.4,6.3,"AZ","West","Mountain"
"39","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,4.6,5.9,5.9,NA,0.5,4.2,"AZ","West","Mountain"
"40","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,50.1,1.7,1.1,3.5,0.5,15.5,"AZ","West","Mountain"
"41","Arizona",2017,"October-December",12,27000,30000,6500,22,1300,1100,4,61.6,4.2,2.3,1.6,4.1,0.1,"AZ","West","Mountain"
"42","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,41.7,1,0.9,13.5,13.4,8.9,"AZ","West","Mountain"
"43","Arizona",2018,"July-September",15,31000,31000,8000,26,3200,3100,10,52.5,2.3,4.5,3.8,15,27.6,"AZ","West","Mountain"
"44","Arizona",2019,"July-September",19,26000,30000,2000,7,5500,3800,13,29,9.9,2.7,11.4,13.2,0.6,"AZ","West","Mountain"
"45","Arizona",2021,"April-June",26,26000,26000,4200,16,8500,7500,29,6.4,NA,3.6,1.2,7.1,6.9,"AZ","West","Mountain"
"46","Arizona",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ","West","Mountain"
"47","Arizona",2019,"January-March",17,22000,22000,2500,11,430,90,NA,25.8,7.9,6.5,16.2,8.4,0.2,"AZ","West","Mountain"
"48","Arizona",2017,"April-June",10,22000,22000,2600,12,12500,3000,14,57.8,15.6,19.4,12.2,20.1,0.7,"AZ","West","Mountain"
"49","Arizona",2019,"October-December",20,34000,36000,7000,19,300,300,1,53.9,1.5,0.4,23.3,4,2.9,"AZ","West","Mountain"
"50","Arizona",2018,"January-March",13,25000,26000,6000,23,810,230,1,36.3,4.3,4.6,15.3,7.9,4.2,"AZ","West","Mountain"
"51","Arizona",2020,"July-September",23,28000,30000,8000,27,2600,1800,6,24.1,NA,1.9,1.7,9.3,12.2,"AZ","West","Mountain"
"52","Arizona",2020,"January-March",21,29000,32000,6500,20,150,120,NA,31.7,0.1,0.1,NA,10.1,9,"AZ","West","Mountain"
"53","Arkansas",2016,"July-September",7,32000,32000,1500,5,270,60,NA,80.7,9,0.4,7.9,2.7,0.3,"AR","South","West South Central"
"54","Arkansas",2015,"July-September",3,23000,30000,9000,30,500,210,1,69.2,32.4,0.9,5,1.8,1.4,"AR","South","West South Central"
"55","Arkansas",2015,"October-December",4,23000,27000,2400,9,1900,NA,NA,38.1,9.7,0.1,8.2,8.5,0.6,"AR","South","West South Central"
"56","Arkansas",2017,"July-September",11,29000,29000,6000,21,4400,410,1,61.4,9.1,NA,17,9.3,2.3,"AR","South","West South Central"
"57","Arkansas",2015,"January-March",1,13000,14000,1500,11,1200,90,1,17.6,11.4,1.5,3.4,1,1,"AR","South","West South Central"
"58","Arkansas",2016,"October-December",8,28000,28000,2500,9,20,10,NA,21.1,4.8,NA,1.3,1.1,3.3,"AR","South","West South Central"
"59","Arkansas",2018,"October-December",16,30000,31000,6000,19,110,230,1,82.8,7.1,NA,73.5,5.3,2.2,"AR","South","West South Central"
"60","Arkansas",2019,"January-March",17,28000,28000,6500,23,20,20,NA,19.5,1.5,3.3,55.3,0.7,2.9,"AR","South","West South Central"
"61","Arkansas",2019,"July-September",19,20000,21000,2100,10,170,680,3,53.2,19.7,6.8,50.5,6.9,39.3,"AR","South","West South Central"
"62","Arkansas",2017,"January-March",9,18000,20000,3500,18,430,190,1,23.7,13.8,NA,0.3,3.6,0.6,"AR","South","West South Central"
"63","Arkansas",2016,"April-June",6,24000,24000,3400,14,12000,1600,7,84.9,8.5,5.5,0.1,3.4,1.6,"AR","South","West South Central"
"64","Arkansas",2018,"January-March",13,22000,22000,7500,34,540,810,4,21.1,9.6,1,23,4.6,13.9,"AR","South","West South Central"
"65","Arkansas",2018,"April-June",14,11500,11500,1500,13,14000,1900,17,35.5,16,0.9,2.8,11.4,16.6,"AR","South","West South Central"
"66","Arkansas",2018,"July-September",15,29000,29000,2300,8,2600,840,3,29.9,7.8,0.1,17.6,0.5,0.6,"AR","South","West South Central"
"67","Arkansas",2017,"October-December",12,25000,25000,7500,30,2500,440,2,37.5,29.2,26.6,31,24.1,0.4,"AR","South","West South Central"
"68","Arkansas",2019,"October-December",20,19000,19500,1600,8,430,310,2,47.7,39.7,1.4,7.8,12.5,32.8,"AR","South","West South Central"
"69","Arkansas",2015,"April-June",2,13500,13500,1900,14,11500,5500,41,65.9,63.4,7,22.6,27.4,9.3,"AR","South","West South Central"
"70","Arkansas",2017,"April-June",10,17000,17000,1900,11,5000,1300,8,24.5,12.2,2.4,4.9,3.4,3.1,"AR","South","West South Central"
"71","Arkansas",2016,"January-March",5,27000,27000,5000,19,4700,2200,8,57.5,7,NA,0.5,1.9,8.1,"AR","South","West South Central"
"72","Arkansas",2020,"April-June",22,17000,17000,1900,11,5000,800,5,40.5,15.3,5.1,24.6,2.1,12.4,"AR","South","West South Central"
"73","Arkansas",2020,"October-December",24,22000,23000,2100,9,380,780,3,43.1,12.9,1.7,12.8,5.9,5.7,"AR","South","West South Central"
"74","Arkansas",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR","South","West South Central"
"75","Arkansas",2021,"January-March",25,21000,21000,2200,10,790,130,1,28.5,19.6,NA,14.2,3.8,2.6,"AR","South","West South Central"
"76","Arkansas",2020,"July-September",23,19000,22000,1700,8,1500,390,2,33.9,15.6,3.9,13.9,1.3,8.6,"AR","South","West South Central"
"77","Arkansas",2020,"January-March",21,16500,17500,1200,7,700,30,NA,31.7,22.7,0.2,2.6,0.4,11.2,"AR","South","West South Central"
"78","Arkansas",2021,"April-June",26,12000,12000,1600,13,9000,6000,50,44,23,5.9,2.9,2.1,3.7,"AR","South","West South Central"
"79","California",2016,"July-September",7,740000,820000,82000,10,33000,78000,10,42.2,17.8,8.5,18.8,10.4,6.9,"CA","West","Pacific"
"80","California",2016,"October-December",8,770000,1330000,205000,15,40000,35000,3,41.9,13.7,8,9.1,9.6,3.5,"CA","West","Pacific"
"81","California",2015,"January-March",1,1440000,1690000,255000,15,250000,124000,7,24.7,7.2,3,7.5,6.5,2.8,"CA","West","Pacific"
"82","California",2015,"July-September",3,730000,8e+05,76000,10,40000,93000,12,39.9,20.4,12.5,19.6,15,4.7,"CA","West","Pacific"
"83","California",2021,"January-March",25,1240000,1550000,193000,12,76000,84000,5,29.9,5.7,1.7,7.2,6.2,3.4,"CA","West","Pacific"
"84","California",2018,"April-June",14,1140000,1190000,70000,6,176000,254000,21,41.9,10.2,11.2,13.8,9.1,5.1,"CA","West","Pacific"
"85","California",2019,"July-September",19,650000,7e+05,93000,13,87000,108000,15,49,11.5,8.7,16,11.1,3.2,"CA","West","Pacific"
"86","California",2021,"April-June",26,1050000,1060000,64000,6,2e+05,180000,17,42.4,11.5,7.7,16.1,11.6,3.8,"CA","West","Pacific"
"87","California",2015,"October-December",4,750000,1260000,149000,12,39000,75000,6,37.3,12.7,6.2,11.7,10.5,7.3,"CA","West","Pacific"
"88","California",2020,"April-June",22,1200000,1200000,74000,6,184000,240000,20,33.4,4.7,3.9,5.4,7.5,3,"CA","West","Pacific"
"89","California",2020,"October-December",24,7e+05,1400000,164000,12,120000,58000,4,45.5,11.1,7.1,4.8,4.2,4,"CA","West","Pacific"
"90","California",2018,"October-December",16,680000,1200000,170000,14,86000,46000,4,44.1,16.6,9.8,11.6,9.3,7.1,"CA","West","Pacific"
"91","California",2015,"April-June",2,1040000,1050000,104000,10,170000,285000,27,50.9,21.5,7.8,23,14.2,3.1,"CA","West","Pacific"
"92","California",2019,"January-March",17,1140000,1580000,235000,15,83000,86000,5,43.5,13.4,6.4,12.3,8.7,5.6,"CA","West","Pacific"
"93","California",2016,"April-June",6,1110000,1150000,108000,9,240000,185000,16,49.7,14.1,11.2,14.2,15.3,2.6,"CA","West","Pacific"
"94","California",2016,"January-March",5,1140000,1410000,210000,15,175000,63000,5,38.5,15.2,9,12.6,8.4,4.3,"CA","West","Pacific"
"95","California",2020,"January-March",21,1350000,1710000,230000,13,240000,66000,4,22.4,6,5,5.3,5.3,4.2,"CA","West","Pacific"
"96","California",2017,"April-June",10,1140000,1180000,82000,7,210000,235000,20,36.1,7.5,2.9,12.4,4.7,3,"CA","West","Pacific"
"97","California",2020,"July-September",23,640000,7e+05,69000,10,61000,108000,15,33.9,11.4,7.3,6.3,8.1,3.6,"CA","West","Pacific"
"98","California",2017,"January-March",9,1150000,1440000,172000,12,215000,92000,6,38,12.8,7.6,9.2,6.6,6.3,"CA","West","Pacific"
"99","California",2017,"October-December",12,680000,1200000,155000,13,90000,104000,9,47.9,14.1,7.4,17,17.1,6.3,"CA","West","Pacific"
"100","California",2019,"October-December",20,7e+05,1300000,136000,10,160000,37000,3,40.5,10.9,5.2,11.3,8,5,"CA","West","Pacific"
"101","California",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA","West","Pacific"
"102","California",2018,"January-March",13,1150000,1540000,220000,14,2e+05,132500,9,41.4,11.3,4.8,11.5,8,4.9,"CA","West","Pacific"
"103","California",2017,"July-September",11,590000,670000,67000,10,73000,74000,11,42.3,15.8,5.6,13.4,10.1,3.6,"CA","West","Pacific"
"104","California",2018,"July-September",15,590000,7e+05,73000,10,63000,141000,20,57.3,6.6,4.5,17.8,12,3.6,"CA","West","Pacific"
"105","Colorado",2019,"July-September",19,33000,36000,9500,26,2200,3400,9,79.8,12.5,4.8,10.2,9.4,1,"CO","West","Mountain"
"106","Colorado",2017,"October-December",12,34000,34000,7000,21,1500,4000,12,30.2,0.7,0.2,20,15.5,5.3,"CO","West","Mountain"
"107","Colorado",2018,"January-March",13,13000,21000,4900,23,1400,190,1,31.7,0.8,3.8,0.5,13.7,2.4,"CO","West","Mountain"
"108","Colorado",2020,"October-December",24,19000,19000,5000,26,930,20,NA,14.9,NA,NA,NA,0.9,1.5,"CO","West","Mountain"
"109","Colorado",2021,"January-March",25,3000,16500,640,4,850,30,NA,2.1,NA,NA,NA,1.1,7.8,"CO","West","Mountain"
"110","Colorado",2020,"April-June",22,16500,27000,2100,8,6000,2800,10,35.4,0.1,0.1,NA,0.5,2.5,"CO","West","Mountain"
"111","Colorado",2017,"January-March",9,9500,21000,1100,5,100,NA,NA,17,NA,NA,0.9,2.6,0.4,"CO","West","Mountain"
"112","Colorado",2017,"April-June",10,16500,29000,3500,12,5500,7500,26,31.6,0.9,5.3,3.2,4.7,0.1,"CO","West","Mountain"
"113","Colorado",2019,"January-March",17,5000,7500,320,4,NA,NA,NA,11.2,0.3,NA,NA,2.5,0.6,"CO","West","Mountain"
"114","Colorado",2018,"April-June",14,16500,26000,2300,9,9500,4570,18,42.8,NA,13.1,3.7,4.3,0.4,"CO","West","Mountain"
"115","Colorado",2020,"July-September",23,29000,29000,7000,24,3800,5500,19,23.1,1.1,NA,NA,6.3,19.8,"CO","West","Mountain"
"116","Colorado",2021,"April-June",26,17000,22000,5500,25,4800,1100,5,47.6,NA,NA,NA,NA,3.3,"CO","West","Mountain"
"117","Colorado",2018,"October-December",16,30000,30000,3500,12,370,10,NA,73.2,5.9,1,NA,6.1,1.2,"CO","West","Mountain"
"118","Colorado",2019,"October-December",20,27000,27000,8000,30,1100,440,2,67.7,1.5,NA,15.3,2.6,0.8,"CO","West","Mountain"
